,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1973.0,28.0,27.0,0.0,78.0
1,1959.0,9.0,41.0,1.0,87.0
2,1954.0,8.0,46.0,2.0,95.0
3,1950.0,5.0,50.0,3.0,100.0
4,1949.0,3.0,51.0,4.0,103.0
5,1949.0,0.0,51.0,5.0,103.0
6,1949.0,0.0,51.0,6.0,103.0
7,1949.0,0.0,51.0,7.0,103.0
8,1949.0,0.0,51.0,8.0,103.0
9,1949.0,0.0,51.0,9.0,103.0
10,1949.0,0.0,51.0,10.0,103.0
11,1949.0,0.0,51.0,11.0,103.0
12,1949.0,0.0,51.0,12.0,103.0
13,1949.0,0.0,51.0,13.0,103.0
14,1949.0,0.0,51.0,14.0,103.0
15,1949.0,0.0,51.0,15.0,103.0
16,1949.0,0.0,51.0,16.0,103.0
17,1949.0,0.0,51.0,17.0,103.0
18,1949.0,0.0,51.0,18.0,103.0
19,1949.0,0.0,51.0,19.0,103.0
20,1949.0,0.0,51.0,20.0,103.0
